aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Labbaik Plastic and Scrap Center,SDDD3442,903,Monthly,116,18-07-2022,Maharashtra,Pune,"8,905.00","8,895.00",12182,18-07-2022,1297 / 1295 / 1302,19-07-2022,DN09N9361,2214 5654 3239,,,Rigid,LDPE,,,,,,,
Labbaik Plastic and Scrap Center,SDDD3443,915,Monthly,115,18-07-2022,Maharashtra,Pune,"9,110.00","9,185.00",12175,18-07-2022,1332 / 1336,20-07-2022,GJ15XX9283,2414 5654 1804,,,Rigid,LDPE,,,,,,,
Labbaik Plastic and Scrap Center,SDDD3444,934,Monthly,117,21-07-2022,Maharashtra,Pune,"10,000.00","9,985.00",12289,21-07-2022,1390 / 1392,23-07-2022,DN09N9361,2214 5794 4866,,,Rigid,LDPE,,,,,,,
Lucky Traders,SDDD3445,771,Monthly,53,30-06-2022,Maharashtra,Sangli,"10,740.00","10,770.00",500640,30-06-2022,848 / 853,03-07-2022,MH10CQ9599,2914 4952 6587,,,Rigid,LDPE,,,,,,,
Lucky Traders,SDDD3446,993,Monthly,55,26-07-2022,Maharashtra,Sangli,"10,345.00","10,285.00",506004,26-07-2022,1582 / 1584,30-07-2022,MH50N1188,2414 6001 1760,,,Rigid,LDPE,,,,,,,
Mahakal waste Traders,SDDD3447,820,Monthly,10,06-07-2022,Maharashtra,Pune,"8,980.00","9,310.00",1274,06-07-2022,1003 / 1005,09-07-2022,MH14DM8284,2114 5186 5234,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3448,775,Monthly,654,30-06-2022,Maharashtra,Pune,"9,340.00","9,290.00",3981,30-06-2022,869 /866,04-07-2022,DN09Q9003,2314 4961 4983,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3449,800,Monthly,659,04-07-2022,Maharashtra,Pune,"9,890.00","9,975.00",4979,04-07-2022,948 / 945,07-07-2022,MH42T9630,2114 5098 0752,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3450,805,Monthly,660,04-07-2022,Maharashtra,Pune,"9,865.00","9,990.00",9008/4510,04-07-2022,961 / 969,07-07-2022,DN09N9787,2314 5100 3616,,,Rigid,LDPE,,,,,,,
Mn Enterprise,SDDD3451,825,Monthly,662,06-07-2022,Maharashtra,Pune,"7,320.00","7,250.00",4225,06-07-2022,1015 / 1021,09-07-2022,MH04FJ4253,2614 5188 2395,,,Rigid,LDPE,,,,,,,
