aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Ak Plastic,346578FTY567567,87,Monthly,275,09-04-2022,Maharashtra,Palghar,"9,810.00","9,705.00",10559,09-04-2022,5558 /5569,11-04-2022,MH03CV6268,2814 1626 3007,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567568,140,Monthly,277,16-04-2022,Maharashtra,Palghar,"8,530.00","8,495.00",10767,16-04-2022,5737 /5732,17-04-2022,GJ15Z1658,2414 1902 9318,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567569,162,Monthly,278,19-04-2022,Maharashtra,Palghar,"9,500.00","9,430.00",10864,19-04-2022,5803/5808,20-04-2022,MH48AG2318,2614 2011 4894,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567570,198,Monthly,279,22-04-2022,Maharashtra,Palghar,"9,850.00","9,740.00",10948,22-04-2022,5914 / 5917,23-04-2022,MH03DV2903,2414 2147 3800,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567571,234,Monthly,280,26-04-2022,Maharashtra,Palghar,"9,940.00","9,880.00",11078,26-04-2022,6027 / 6030,28-04-2022,MH03CV6911,2814 2300 7344,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,
Ayan Traders,346578FTY567572,85,Monthly,289,08-04-2022,Maharashtra,Pune,"12,195.00","12,060.00",4431,08-04-2022,5560 /5562,11-04-2022,DN09M9989,2414 1584 3019,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,,
Ayan Traders,346578FTY567573,144,Monthly,290,16-04-2022,Maharashtra,Pune,"11,640.00","11,610.00",184,16-04-2022,5749 /5747,18-04-2022,DN09M9989,2114 1899 4469,,,Rigid,LDPE,hg,ht,gh,,jhhg,,
Ayan Traders,346578FTY567574,256,Monthly,293,28-04-2022,Maharashtra,Pune,"9,110.00","9,080.00",34,28-04-2022,6098 / 6100,30-04-2022,DD03K9565,2114 2378 6314,,,Rigid,LDPE,hg,ht,gh,,,,
Eco Polypet India,346578FTY567575,68,Monthly,2,07-04-2022,Maharashtra,Pune,"9,066.00","9,020.00",5989,07-04-2022,5505 /5509,09-04-2022,DN09P9467,2114 1540 4929,,,Rigid,LDPE,hg,ht,gh,,,,
Eco Polypet India,346578FTY567576,204,Monthly,14,23-04-2022,Maharashtra,Pune,"8,216.00","8,215.00",6082,23-04-2022,5935 / 5938,24-04-2022,GJ15XX4368,2214 2175 8011,,,Rigid,LDPE,hg,ht,gh,,,,
Eco Polypet India,346578FTY567577,230,Monthly,16,25-04-2022,Maharashtra,Pune,"8,075.00","7,995.00",1536,25-04-2022,6015 /6019,27-04-2022,DD03K9565,2314 2248 9704,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567578,62,Monthly,3,06-04-2022,Maharashtra,Pune,"8,700.00","8,645.00",309,06-04-2022,5483 /5488,08-04-2022,DN09N9361,2614 1489 9361,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567579,97,Monthly,7,10-04-2022,Maharashtra,Pune,"7,054.00","6,955.00",2231,10-04-2022,5592 /5585,12-04-2022,DN09P9404,2714 1632 2491,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567580,142,Monthly,12,16-04-2022,Maharashtra,Pune,"8,085.00","8,035.00",5961,16-04-2022,5745 /5742,17-04-2022,DN09Q9752,2514 1902 3920,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567581,145,Monthly,11,16-04-2022,Maharashtra,Pune,"7,412.00","7,345.00",2276,16-04-2022,5746 /5750,18-04-2022,DN09R9676,2914 1902 8534,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567582,168,Monthly,14,19-04-2022,Maharashtra,Pune,"7,426.00","7,445.00",6052,19-04-2022,5820/5824,21-04-2022,DN09L9032,2414 2009 6020,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567583,253,Monthly,17,27-04-2022,Maharashtra,Pune,"7,070.00","7,130.00",1870,27-04-2022,6083 / 6086,30-04-2022,DN09L9032,2914 2348 9219,,,Rigid,LDPE,hg,ht,,,,,
Kachhi Eco Plastic,346578FTY567584,58,Monthly,10/2022-23,05-04-2022,Maharashtra,Pune,"10,150.00","10,050.00",5264,05-04-2022,5473 / 5475,08-04-2022,GJ15AT5602,2514 1451 2197,,,Rigid,LDPE,hg,,,,,,
Kachhi Eco Plastic,SDDD3242,182,Monthly,34/2022-23,20-04-2022,Maharashtra,Pune,"5,510.00","5,464.00",8007,20-04-2022,5867/5869,22-04-2022,DD01A9061,2414 2053 2441,,,Rigid,LDPE,hg,,,,,,
Kachhi Eco Plastic,SDDD3243,183,Monthly,33/2022-23,20-04-2022,Maharashtra,Pune,"9,555.00","9,495.00",756,20-04-2022,5868/5872,22-04-2022,DD01A9388,2014 2050 4646,,,Rigid,LDPE,hg,,,,,,
Kachhi Eco Plastic,SDDD3244,184,Monthly,35/2022-23,20-04-2022,Maharashtra,Pune,"9,105.00","9,065.00",7778,20-04-2022,5871/5876,22-04-2022,DN09S9703,2414 2058 4314,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3245,160,Monthly,13,18-04-2022,Maharashtra,Palghar,"8,110.00","8,050.00",35,18-04-2022,5796 /5798,20-04-2022,DD01C9946,2614 1964 4641,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3246,170,Monthly,15,20-04-2022,Maharashtra,Palghar,"10,505.00","10,440.00",7619,19-04-2022,5823/5827,21-04-2022,DN09S9237,2014 2013 3271,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3247,193,Monthly,16,22-04-2022,Maharashtra,Pune,"8,960.00","8,865.00",2829,22-04-2022,5898/5902,23-04-2022,GJ15AT5602,2214 2103 6355,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3248,232,Monthly,21,26-04-2022,Maharashtra,Palghar,"7,715.00","7,680.00",4582,25-04-2022,6024 / 6026,27-04-2022,MH04FJ4253,2014 2253 4964,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3249,240,Monthly,22,26-04-2022,Maharashtra,Pune,"9,445.00","9,390.00",40,26-04-2022,6046 /6047,29-04-2022,DN09Q9246,2914 2298 4182,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3250,250,Monthly,23,27-04-2022,Maharashtra,Palghar,"10,000.00","9,890.00",9096,27-04-2022,6072 / 6075,30-04-2022,DN09S9237,2114 2348 6539,,,Rigid,LDPE,hg,,,,,,
Labbaik Plastic and Scrap Centre ,SDDD3251,194,Monthly,103,21-04-2022,Maharashtra,Pune,"6,955.00","6,885.00",8983,21-04-2022,5901/5904,23-04-2022,DN09P9150,2014 2098 7847,,,Rigid,LDPE,hg,,,,,,
Labbaik Plastic and Scrap Centre ,SDDD3252,228,Monthly,104,26-04-2022,Maharashtra,Pune,"7,590.00","7,410.00",9105,25-04-2022,6007 /6011,27-04-2022,DN09P9988,2014 2253 5079,,,Rigid,LDPE,hg,,,,,,
Mahakal Waste Traders,SDDD3253,41,Monthly,1,04-04-2022,Maharashtra,Pune,"10,060.00","9,975.00",5055,04-04-2022,5418 /5423,06-04-2022,DN09V9426,2814 1404 3823,,,Rigid,LDPE,hg,,,,,,
Mahakal Waste Traders,SDDD3254,119,Monthly,3,13-04-2022,Maharashtra,Pune,"9,915.00","9,835.00",509,13-04-2022,5666 /5670,14-04-2022,DN09S9892,2314 1777 8956,,,Rigid,LDPE,hg,,,,,,
Mahakal Waste Traders,SDDD3255,231,Monthly,4,25-04-2022,Maharashtra,Pune,"10,080.00","9,975.00",967,25-04-2022,6018 / 6023,27-04-2022,DN09P9467,2514 2249 1044,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3256,24,Monthly,560,03-04-2022,Maharashtra,Pune,"8,430.00","8,370.00",149,03-04-2022,5377 / 5379,05-04-2022,DD01G9284,2814 1 365 0145,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3257,42,Monthly,562,04-04-2022,Maharashtra,Pune,"8,030.00","8,005.00",100,04-04-2022,5422 / 5427,06-04-2022,MH04FJ4253,2214 1406 9524,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3258,71,Monthly,566,05-04-2022,Maharashtra,Pune,"8,980.00","8,920.00",437,07-04-2022,5519 /5522,09-04-2022,DN09Q9002,2914 1539 4244,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3259,53,Monthly,563,05-04-2022,Maharashtra,Pune,"10,015.00","9,960.00",1405,05-04-2022,5457 / 5464,07-04-2022,DN09S9892,2714 1449 8819,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3260,104,Monthly,568,10-04-2022,Maharashtra,Pune,"8,770.00","8,690.00",3227/332,10-04-2022,5620 /5623,13-04-2022,DN09N9883,2214 1642 4903,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3261,121,Monthly,569,12-04-2022,Maharashtra,Pune,"9,275.00","9,230.00",952,12-04-2022,5669 /5672,15-04-2022,DD01A9835,2914 1729 4153,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3262,138,Monthly,573,16-04-2022,Maharashtra,Pune,"7,910.00","7,865.00",4635,16-04-2022,5729 /5725,17-04-2022,DN09N9750,2114 1901 6788,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3263,146,Monthly,572,16-04-2022,Maharashtra,Pune,"7,850.00","7,800.00",963,16-04-2022,5754 /5752,18-04-2022,MH12HD1676,2214 1901 4673,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3264,151,Monthly,576,17-04-2022,Maharashtra,Pune,"9,770.00","9,670.00",1611/649,17-04-2022,5774 /5772,19-04-2022,DN09N9751,2914 1918 7202,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3265,152,Monthly,575,17-04-2022,Maharashtra,Pune,"9,630.00","9,580.00",3302,17-04-2022,5775 /5771,19-04-2022,GJ15AT5602,2214 1918 3580,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3266,171,Monthly,579,19-04-2022,Maharashtra,Pune,"7,905.00","7,880.00",8258/1829,19-04-2022,5834 /5828,21-04-2022,MH04FJ4253,2614 2010 5562,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3267,179,Monthly,580,20-04-2022,Maharashtra,Pune,"9,535.00","9,475.00",1484,20-04-2022,5859 /5854,22-04-2022,DN09N9361,2714 2055 9957,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3268,229,Monthly,584,25-04-2022,Maharashtra,Pune,"9,660.00","9,620.00",7078,25-04-2022,6012 /6016,27-04-2022,DD01A9388,2914 2252 0564,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3269,242,Monthly,585,26-04-2022,Maharashtra,Pune,"11,630.00","11,540.00",3063,26-04-2022,6049 /6053,29-04-2022,DD01F9852,2314 2299 1931,,,Rigid,LDPE,hg,,,,,,
Mn Enterprise,SDDD3270,243,Monthly,586,26-04-2022,Maharashtra,Pune,"8,275.00","8,155.00",1002,26-04-2022,6057 / 6052,29-04-2022,DN09N9787,2914 2300 4418,,,Rigid,LDPE,,,,,,,
Nande Sales,SDDD3271,94,Monthly,238,09-04-2022,Maharashtra,Pune,"8,990.00","8,945.00",6961,09-04-2022,5584 /5589,12-04-2022,GJ15AT5602,2714 1622 6135,,,Rigid,LDPE,,,,,,,
Nande Sales,SDDD3272,100,Monthly,239,10-04-2022,Maharashtra,Pune,"8,505.00","8,475.00",7012 /6987,10-04-2022,5603 /5609,12-04-2022,DN09S9892, 2214 1638 6265 ,,,Rigid,LDPE,,,,,,,
Nande Sales,SDDD3273,252,Monthly,240,27-04-2022,Maharashtra,Pune,"9,045.00","8,975.00",7735,27-04-2022,6076 /6082,30-04-2022,GJ15AT5602,2714 2349 1487,,,Rigid,LDPE,,,,,,,
Nd Sarkar Enterprises,SDDD3274,107,Monthly,15,11-04-2022,Maharashtra,Nashik,"10,555.00","10,455.00",529,11-04-2022,5629 /5632,13-04-2022,GJ15XX5388,2914 1688 1394,,,Rigid,LDPE,,,,,,,
Nd Sarkar Enterprises,SDDD3275,203,Monthly,16,22-04-2022,Maharashtra,Nashik,"10,240.00","10,180.00",1279,22-04-2022,5926 / 5930,24-04-2022,MH15HH2846,2714 2147 3304,,,Rigid,LDPE,,,,,,,
Payal Plastic,SDDD3276,221,Monthly,10,24-04-2022,Maharashtra,Solapur,"9,795.00","9,695.00",2713,24-04-2022,5973 / 5988,26-04-2022,MH12QW9016,2614 2203 0064,,,Rigid,LDPE,,,,,,,
Race Eco Chain Limited,SDDD3277,1,Monthly,GST-006-22-23,01-04-2022,Maharashtra,Thane,"8,415.00","8,325.00",9745,01-04-2022,5318 / 5316,02-04-2022,MH03DV2901,4112 4145 6189,,,Rigid,LDPE,,,,,,,
Rapidue Technologies Pvt Ltd,SDDD3278,70,Monthly,23/MPPET/INV0069,07-04-2022,Maharashtra,Pune,"8,340.00","8,275.00",4240,07-04-2022,5518 /5516,09-04-2022,MH12MV6633,1214 5878 2589,,,Rigid,LDPE,,,,,,,
Rojmin Plastics,SDDD3279,5,Monthly,1,01-04-2022,Maharashtra,Nashik,"6,265.00","6,215.00",3699,01-04-2022,5322 / 5326,03-04-2022,MH04CU5333,2114 1321 4573,,,Rigid,LDPE,,,,,,,
Roongta Traders,SDDD3280,95,Monthly,29,10-04-2022,Maharashtra,Thane,"10,160.00","10,060.00",61251,09-04-2022,5587 /5588,12-04-2022,MH48CB3689,2514 1627 1621,,,Rigid,LDPE,,,,,,,
Roongta Traders,SDDD3281,147,Monthly,56,17-04-2022,Maharashtra,Thane,"9,110.00","9,065.00",62439,17-04-2022,5758 /5755,18-04-2022,MH03DV0147,2714 1920 3838,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3282,2,Monthly,SP/01/2022,01-04-2022,Maharashtra,Mumbai,"10,640.00","10,565.00",10255,01-04-2022,5317 / 5319,02-04-2022,MH02FG2977,2414 1318 2422,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3283,47,Monthly,SP/02/2022,05-04-2022,Maharashtra,Mumbai,"10,320.00","10,280.00",6013,05-04-2022,5439 / 5443,07-04-2022,GJ15AT7707,2414 1449 2755,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3284,63,Monthly,SP/03/2022,06-04-2022,Maharashtra,Mumbai,"8,290.00","8,205.00",60705 /60757,06-04-2022,5487 /5492,08-04-2022,MH02FG2977,2114 1496 7704,,,Rigid,LDPE,,,,,,,
Sana Plastic,SDDD3285,80,Monthly,SP/04/2022,09-04-2022,Maharashtra,Mumbai,"12,490.00","12,405.00",6336 /11477,08-04-2022,5543 /5551,10-04-2022,GJ15AT7707,2514 1586 1676,,,Rigid,LDPE,,,,,,,
Shree Ram Enterprise,SDDD3286,165,Monthly,SRE22-23-02,19-04-2022,Maharashtra,Dombivli,"9,250.00","9,160.00",4355,19-04-2022,5814/5819,20-04-2022,UP63BT1074,2114 2011 8648,,,Rigid,LDPE,,,,,,,
Shreenath Plastic,SDDD3287,89,Monthly,24,08-04-2022,Maharashtra,Pune,"8,100.00","8,020.00",5468,08-04-2022,5573 /5571,11-04-2022,DD01A9061,2514 1585 4791,,,Rigid,LDPE,,,,,,,
Shreenath Plastic,SDDD3288,208,Monthly,30,23-04-2022,Maharashtra,Pune,"8,850.00","8,840.00",6399,23-04-2022,5944 / 5947,25-04-2022,DN09M9989,2714 2190 2064,,,Rigid,LDPE,,,,,,,
Shreenath Plastic,SDDD3289,131,Monthly,27,15-04-2022,Maharashtra,Palghar,"8,510.00","8,480.00",10729,15-04-2022,5705 /5701,16-04-2022,MH48BM6183,2614 1851 6156,,,Rigid,LDPE,,,,,,,
Shreenath Plastic,SDDD3290,172,Monthly,28,20-04-2022,Maharashtra,Palghar,"8,400.00","8,340.00",10883,20-04-2022,5846 /5840,21-04-2022,MH47AS0640,2814 2049 8330,,,Rigid,LDPE,,,,,,,
AH scrap traders,SDDD3291,316,Monthly,204,05-05-2022,Maharashtra,Mumbai,"10,440.00","10,375.00",402,05-05-2022,6282 / 6285,08-05-2022,MH03CV5126,2114 2667 6575,,,Rigid,LDPE,,,,,,,
AH scrap traders,SDDD3292,340,Monthly,205,07-05-2022,Maharashtra,Mumbai,"12,960.00","12,920.00",11331,06-05-2022,6362 / 6366,11-05-2022,DD01C9472,2214 2752 2634,,,Rigid,LDPE,,,,,,,
AH scrap traders,SDDD3293,499,Monthly,212,28-05-2022,Maharashtra,Mumbai,"9,480.00","9,400.00",895,07-05-2022,007/ 11 ,30-05-2022,MH16CC6775,2214 3587 9001,,,Rigid,LDPE,,,,,,,
Ayan traders,SDDD3294,306,Monthly,294,04-05-2022,Maharashtra,Pune,"9,610.00","9,525.00",2823,04-05-2022,6247 / 6251,06-05-2022,DN09M9989,2614 2624 4054,,,Rigid,LDPE,,,,,,,
Ayan traders,SDDD3295,362,Monthly,295,12-05-2022,Maharashtra,Pune,"7,135.00","7,070.00",3915,12-05-2022,6419 / 6424,14-05-2022,MH04FJ4253,2814 2940 2262,,,Rigid,LDPE,,,,,,,
Ayan traders,SDDD3296,372,Monthly,296,13-05-2022,Maharashtra,Pune,"10,020.00","9,960.00",4110,14-05-2022,6445 / 6452,15-05-2022,DN09M9989,2714 2986 3198,,,Rigid,LDPE,,,,,,,
Ayan traders,SDDD3297,436,Monthly,297,20-05-2022,Maharashtra,Pune,"10,795.00","10,675.00",5044,20-05-2022,6645 / 6648,22-05-2022,DN09M9989,2114 3219 2490,,,Rigid,LDPE,,,,,,,
Ayan traders,SDDD3298,462,Monthly,298,22-05-2022,Maharashtra,Pune,"7,300.00","7,215.00",5293,22-05-2022,6724 / 6727,25-05-2022,MH04FJ4253,2914 3304 7292,,,Rigid,LDPE,,,,,,,
Ayan traders,SDDD3299,481,Monthly,299,25-05-2022,Maharashtra,Pune,"10,250.00","10,105.00",5748,25-05-2022,6792 / 6796,28-05-2022,DN09M9989,2214 3411 1508,,,Rigid,LDPE,,,,,,,
Eco polypet India,SDDD3300,368,Monthly,24,13-05-2022,Maharashtra,Pune,"7,142.00","7,110.00",2413,13-05-2022,6440 / 6443,14-05-2022,DN09L9032,2514 2983 3319,,,Rigid,LDPE,,,,,,,
Eco polypet India,SDDD3301,373,Monthly,25,13-05-2022,Maharashtra,Pune,"7,470.00","7,465.00",4542,13-05-2022,6454 /6457,15-05-2022,DN09N9361,2914 2983 4343,,,Rigid,LDPE,,,,,,,
Eco polypet India,SDDD3302,392,Monthly,26,14-05-2022,Maharashtra,Pune,"9,400.00","9,240.00",6286,14-05-2022,6516 / 6518,17-05-2022,DD01H9501,2614 3026 1713,,,Rigid,LDPE,,,,,,,
Eco polypet India,SDDD3303,408,Monthly,27,15-05-2022,Maharashtra,Pune,"10,550.00","10,520.00",7732,15-05-2022,6560 / 6565,18-05-2022,DD01G9187,2214 3041 3763,,,Rigid,LDPE,,,,,,,
Eco polypet India,SDDD3304,460,Monthly,31,21-05-2022,Maharashtra,Pune,"8,400.00","8,345.00",5535,21-05-2022,6720 / 6723,25-05-2022,DN09N9361,2914 3301 8412,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3305,324,Monthly,23,05-05-2022,Maharashtra,Pune,"9,028.00","9,020.00",6188,05-05-2022,6303 /6321,09-05-2022,DN09P9467,2514 2667 6494,,,Rigid,LDPE,,,,,,,
Indian Recycler,SDDD3306,325,Monthly,21,05-05-2022,Maharashtra,Pune,"8,090.00","8,055.00",3556,05-05-2022,6320 / 6323,10-05-2022,DN09V9474,2814 2658 5920,,,Rigid,LDPE,,,,,,,
Jaiswal treading company,SDDD3307,449,Monthly,175,20-05-2022,Maharashtra,Nashik,"9,185.00","9,115.00",1918,20-05-2022,6683 / 6688,23-05-2022,MP09GG9336,2914 3255 8076,,,Rigid,LDPE,,,,,,,
Jaimal akhtar mohd sadde kazi,SDDD3308,333,Monthly,2,06-05-2022,Maharashtra,Thane,"9,690.00","9,610.00",39023,06-05-2022,6340 / 6347,10-05-2022,MH03CV8930,2514 2710 6044,,,Rigid,LDPE,,,,,,,
Kacchi eco plastic,SDDD3309,326,Monthly,65/2022-23,05-05-2022,Maharashtra,Satara,"9,210.00","9,165.00",254,05-05-2022,6322 / 6326,10-05-2022,GJ15AT5602,2314 2668 4305,,,Rigid,LDPE,,,,,,,
Kacchi eco plastic,SDDD3310,336,Monthly,67/2022-23,06-05-2022,Maharashtra,Satara,"5,680.00","5,625.00",8701,06-05-2022,6348 /6355,11-05-2022,GJ15AT1315,2414 2703 3129,,,Rigid,LDPE,,,,,,,
Kacchi eco plastic,SDDD3311,339,Monthly,68/2022-23,06-05-2022,Maharashtra,Satara,"10,185.00","10,120.00",7138,06-05-2022,6358 / 6363,11-05-2022,DD01A9388,2214 2710 1545,,,Rigid,LDPE,,,,,,,
Khushi Plastic,SDDD3312,338,Monthly,27,07-05-2022,Maharashtra,Palghar,"9,130.00","9,055.00",15670,06-05-2022,6351 /6357,11-05-2022,DN09S9703,2914 2712 5038,,,Rigid,LDPE,,,,,,,
Khushi Plastic,SDDD3313,461,Monthly,34,22-05-2022,Maharashtra,Palghar,"11,095.00","10,995.00",5120,21-05-2022,6722 /6725,25-05-2022,DD01A9388,2114 3304 5768,,,Rigid,LDPE,,,,,,,
Khushi Plastic,SDDD3314,474,Monthly,37,23-05-2022,Maharashtra,Pune,"10,020.00","9,925.00",3866,23-05-2022,6767 /6770,27-05-2022,DN09S9237,2014 3364 3428,,,Rigid,LDPE,,,,,,,
Khushi Plastic,SDDD3315,476,Monthly,36,23-05-2022,Maharashtra,Pune,"10,270.00","10,195.00",3869,23-05-2022,6769 / 6772,27-05-2022,DN09S9628,2114 3362 3902,,,Rigid,LDPE,,,,,,,
Labbaik plastic and scrap center,SDDD3316,395,Monthly,107,14-05-2022,Maharashtra,Pune,"7,190.00","7,150.00",9798,14-05-2022,6520 / 6528,17-05-2022,DN09P9150,2414 3026 3036,,,Rigid,LDPE,,,,,,,
Labbaik plastic and scrap center,SDDD3317,396,Monthly,106,14-05-2022,Maharashtra,Pune,"7,275.00","7,230.00",9783,14-05-2022,6529 / 6531,17-05-2022,DN09P9988,2414 3017 1292,,,Rigid,LDPE,,,,,,,
Lucky traders,SDDD3318,409,Monthly,50,15-05-2022,Maharashtra,Sangali,"10,230.00","10,205.00",488481,15-05-2022,6561 /6566,19-05-2022,MH50N1188,2914 3041  0781,,,Rigid,LDPE,,,,,,,
Mahakal waste traders,SDDD3319,445,Monthly,6,20-05-2022,Maharashtra,Pune,"10,110.00","10,015.00",615,20-05-2022,6668 / 6675,23-05-2022,DN09V9956,2714 3259 0693,,,Rigid,LDPE,,,,,,,
Mahakal waste traders,SDDD3320,501,Monthly,7,28-05-2022,Maharashtra,Pune,"9,855.00","9,780.00",948,28-05-2022,13/16,31-05-2022,DN09R9204,2614 3588 7709,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3321,269,Monthly,590,29-04-2022,Maharashtra,Pune,"10,070.00","10,075.00",30841,29-04-2022,6133 / 6136,02-05-2022,MH14DM6088,2214 2442 0063,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3322,273,Monthly,591,30-04-2022,Maharashtra,Pune,"7,160.00","7,125.00",2580,30-04-2022,6140 /6146,02-05-2022,MH04FJ4253,2114 2495 6747,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3323,311,Monthly,595,04-05-2022,Maharashtra,Pune,"9,725.00","9,640.00",26186,04-05-2022,6262 / 6272,07-05-2022,MH14GU2798,2414 2626 7365,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3324,334,Monthly,597,06-05-2022,Maharashtra,Pune,"10,660.00","10,535.00",5740,06-05-2022,6344 / 6349,10-05-2022,DN09S9237,2614 2709 0977,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3325,337,Monthly,596,06-05-2022,Maharashtra,Pune,"7,995.00","7,965.00",3709/ 9550,06-05-2022,6350 / 6356,11-05-2022,MH04FJ4253,2514 2708 0748,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3326,354,Monthly,601,10-05-2022,Maharashtra,Pune,"8,435.00","8,400.00",176/ 4715,10-05-2022,6393 / 6404,13-05-2022,DN09N9787,2214 2851 8843,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3327,356,Monthly,602,11-05-2022,Maharashtra,Pune,"9,225.00","9,180.00",4303,11-05-2022,6406 /6410,13-05-2022,DN09R9938,2214 2894 4035,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3328,364,Monthly,604,13-05-2022,Maharashtra,Pune,"9,810.00","9,745.00",6667,13-05-2022,6433 /6429,14-05-2022,DD01F9473,2914 2980 8872,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3329,388,Monthly,605,14-05-2022,Maharashtra,Pune,"9,330.00","9,350.00",9475,14-05-2022,6502 / 6504,17-05-2022,DN09N9787,2414 3022 9728,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3330,399,Monthly,606,15-05-2022,Maharashtra,Pune,"9,050.00","8,990.00",4794 / 6050,15-05-2022,6534 /6538,18-05-2022,DN09R9938,2114 3040 1075,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3331,416,Monthly,609,16-05-2022,Maharashtra,Pune,"11,440.00","11,380.00",41394,16-05-2022,6592 /6583,20-05-2022,GJ15X8139,2614 3084 2394,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3332,437,Monthly,610,19-05-2022,Maharashtra,Pune,"8,760.00","8,695.00",571 / 5320,19-05-2022,6642 / 6649,22-05-2022,DN09N9787,2314 3216 7605,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3333,442,Monthly,611,19-05-2022,Maharashtra,Pune,"10,330.00","10,335.00",4858,19-05-2022,6663 / 6667,22-05-2022,DN09P9862,2714 3217 5840,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3334,450,Monthly,613,20-05-2022,Maharashtra,Pune,"10,130.00","10,130.00",8671,20-05-2022,6687 / 6695,23-05-2022,DN09V9759,2414 3259 9968,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3335,457,Monthly,615,21-05-2022,Maharashtra,Pune,"9,100.00","9,055.00",5518,21-05-2022,6710 / 6716,24-05-2022,DN09R9938,2514 3301 7165,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3336,469,Monthly,617,22-05-2022,Maharashtra,Pune,"8,165.00","8,155.00",7749,22-05-2022,6745 / 6748,26-05-2022,DN09Q9002,2814 3319 4470,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3337,480,Monthly,618,24-05-2022,Maharashtra,Pune,"9,280.00","8,225.00",5903,24-05-2022,6790 / 6793,28-05-2022,DN09N9787,2014 3408 3582,,,Rigid,LDPE,,,,,,,
MN enterprises,SDDD3338,488,Monthly,620,26-05-2022,Maharashtra,Pune,"10,180.00","10,080.00",27962,26-05-2022,6813 /6816,29-05-2022,MH14GU2798,2914 3502 7461,,,Rigid,LDPE,,,,,,,
